Course,Location,URL,Status_code,Remark,flag
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Self Assessment in the Digital Age\Opportunities for Learning and Practice: Self Assessment in the Digital Age\Resources,https://www.nwea.org/blog/2013/digital-technology-tools-for-implementing-%20%20formative-assessment-post-one/,404,Broken Links/Page Not Found,1
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Learner Feedback and Coaching in EDT\Opportunities for Learning and Practice\Resources,https://www.nwea.org/blog/2015/growing-list-50-digital-education-tools-apps-formative-%20%20assessment-success/,404,Broken Links/Page Not Found,1
